bitmap   W          bitmap_io.c:215  al_load_bitmap_flags             [   0.00000] No handler for bitmap extension .png - therefore not trying to load CharacterText.png.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\elizalde\source\repos\Bouncy\x64\Debug\allegro5.cfg r
system   D            wsystem.c:738  maybe_parent_dir                 [   0.00000] Also searching C:\Users\elizalde\source\repos\Bouncy\x64\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\windows\system32\shcore.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00000] Calling LoadLibrary C:\windows\system32\shcore.dll
system   I            wsystem.c:702  load_library_at_path             [   0.00000] Loaded C:\windows\system32\shcore.dll
system   I             system.c:264  al_install_system                [   0.00000] Allegro version: 5.2.4
system   D            wsystem.c:738  maybe_parent_dir                 [   0.00052] Also searching C:\Users\elizalde\source\repos\Bouncy\x64\
system   D            wsystem.c:788  _al_win_safe_load_library        [   0.00077] PathFindOnPath found: C:\windows\system32\d3d9.dll
system   D            wsystem.c:699  load_library_at_path             [   0.00080] Calling LoadLibrary C:\windows\system32\d3d9.dll
system   I            wsystem.c:702  load_library_at_path             [   0.03275] Loaded C:\windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.12494] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [   0.12707] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.12713] al_display=000001C3B45F4160
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.12715] al_display->vt=000001C3B45E30F0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.14945] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.14951] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14954] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14957] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14960] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14962] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14965] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14967] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14970] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14972] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14974] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14976] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14979] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14981] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14983] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14985] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14988] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14990] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15042] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.15046] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15049] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.15052] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15054] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.15056] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15060] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.15062] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15064] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.15066] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15069] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.15071] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15074] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.15076] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15079] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.15081] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15083] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15085] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15088] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15090] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15093] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15095] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15098] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15100] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15103] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15105] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15108] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15110] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15113] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15115] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15117] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15120] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15123] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15125] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15128] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15130] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15133] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15136] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15138] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15140] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15143] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15145] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15148] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15150] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
